지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),합계 대형증발량(mm)
105,강릉,2017-04-17,13.8,13.5,69.1,10.2,1.1
105,강릉,2017-04-18,13.9,2.5,63.4,9.9,3.8
105,강릉,2017-04-19,14.3,,39.4,6.3,5.7
105,강릉,2017-04-20,15.6,,38.3,6.7,3.8
105,강릉,2017-04-21,13.1,,54.4,7.9,3.3
105,강릉,2017-04-22,13.5,.3,49.3,7.2,5.5
105,강릉,2017-04-23,19,,24,5.1,8.7
105,강릉,2017-04-24,19.7,,23.1,5.2,7.8
105,강릉,2017-04-25,18.5,,38.5,8.2,5.1
105,강릉,2017-04-26,14.3,,40.3,6.4,4.8
105,강릉,2017-04-27,14,,30.3,4.5,6.8
105,강릉,2017-04-28,17.7,,29.9,5.6,7.4
105,강릉,2017-04-29,19.9,0,31,6.4,10
105,강릉,2017-04-30,23.3,,35,9.1,6.7
105,강릉,2017-05-01,16,,48.3,8.4,5.8
105,강릉,2017-05-02,15.2,,58.9,9.8,4
105,강릉,2017-05-03,18.7,,49,9.8,6
105,강릉,2017-05-04,21.1,,42.3,10.1,4.9
105,강릉,2017-05-05,23.6,,36.1,10.4,7.5
105,강릉,2017-05-06,18.8,,19.1,4.1,9.8
105,강릉,2017-05-07,19.7,,19,4.4,12
105,강릉,2017-05-08,22.8,,26,6.8,7.2
105,강릉,2017-05-09,14.9,1.5,76.9,13,1.5
105,강릉,2017-05-10,15,1,76.9,13,2.7
105,강릉,2017-05-11,22.8,,41.5,11.3,5.8
105,강릉,2017-05-12,22.8,,45.3,12.3,3.9
105,강릉,2017-05-13,16.7,8.5,67.3,12.6,3.3
105,강릉,2017-05-14,18.7,,32.5,6.7,8.5
105,강릉,2017-05-15,17.6,,46.4,9.3,5.3
105,강릉,2017-05-16,16.5,,63.4,11.8,3.6
105,강릉,2017-05-17,19.1,,51.4,10.9,6
105,강릉,2017-05-18,24.7,,33.3,10,9.6
105,강릉,2017-05-19,27.3,,21,7.4,12.8
105,강릉,2017-05-20,26.4,,28.9,9.7,6.9
105,강릉,2017-05-21,24.7,,40,12.2,6.4
105,강릉,2017-05-22,17.7,,71.6,14.5,3.6
105,강릉,2017-05-23,19.1,,64.3,13.6,3.2
105,강릉,2017-05-24,18.8,13.5,75.9,16.2,4.7
105,강릉,2017-05-25,19.8,,45.4,9.9,6
105,강릉,2017-05-26,14,.5,63,9.9,2.6
105,강릉,2017-05-27,17.3,,55.5,10.5,5.7
105,강릉,2017-05-28,24.4,,36.5,10.7,7.5
105,강릉,2017-05-29,24.2,,47.1,13.8,6.1
105,강릉,2017-05-30,26.7,,32.8,11.2,4.8
105,강릉,2017-05-31,25.1,,36.8,11.5,5.4
105,강릉,2017-06-01,18.5,11,71.1,14.8,2
105,강릉,2017-06-02,16.5,.2,55.5,10,5.9
105,강릉,2017-06-03,17.7,,55.6,11.1,5.2
105,강릉,2017-06-04,18.9,2,48.8,9.9,6.3
105,강릉,2017-06-05,17.7,,62.9,12.6,5
105,강릉,2017-06-06,17.1,4,71,13.7,1.9
105,강릉,2017-06-07,16.7,1,82.9,15.7,2
105,강릉,2017-06-08,23.9,,37.9,10.7,8.9
105,강릉,2017-06-09,24.7,,36,11.2,7
105,강릉,2017-06-10,19.3,0,34.8,7.5,6.7
105,강릉,2017-06-11,17.2,,59.6,11.8,4.7
105,강릉,2017-06-12,17.1,,67,12.9,4
105,강릉,2017-06-13,18.4,1,63.9,13.3,4.6
105,강릉,2017-06-14,23.8,,43.8,12.3,7.7
105,강릉,2017-06-15,23,,53.6,14.5,5.1
105,강릉,2017-06-16,20.1,,69.1,16.1,5
105,강릉,2017-06-17,21,,66.9,16.3,5
105,강릉,2017-06-18,22.9,,63.6,17.2,4.6
105,강릉,2017-06-19,24.2,,65.3,19.4,4.8
105,강릉,2017-06-20,23.4,,62.4,17.6,4.1
105,강릉,2017-06-21,22.7,0,67.1,18.2,3.7
105,강릉,2017-06-22,25.1,,46.4,14.3,6.2
105,강릉,2017-06-23,22.8,,68.8,18.9,4.6
105,강릉,2017-06-24,21.4,5,77.3,19.5,2.4
105,강릉,2017-06-25,21.6,,72.6,18.5,2.9
105,강릉,2017-06-26,21.5,3,75.6,19.3,2.3
105,강릉,2017-06-27,22.8,,71.4,19.5,4
105,강릉,2017-06-28,22.9,,74.9,20.7,3.6
105,강릉,2017-06-29,24.1,,71.5,21.1,4.2
105,강릉,2017-06-30,29,,44.5,17.2,6.8
105,강릉,2017-07-01,28.2,2,46.9,17.7,5.1
105,강릉,2017-07-02,24.1,95.5,84.9,25.3,1
105,강릉,2017-07-03,24.4,29.5,81.8,24.5,2.3
105,강릉,2017-07-04,23.2,6,82.4,23.3,1.9
105,강릉,2017-07-05,24.8,,66.9,20.3,5.2
105,강릉,2017-07-06,25.1,,68.5,21.4,4.8
105,강릉,2017-07-07,24.1,.5,79.6,23.8,2.5
105,강릉,2017-07-08,26.4,23.5,75,25.3,3
105,강릉,2017-07-09,30,.2,58.9,24.6,5
105,강릉,2017-07-10,27,5.5,76.5,27.1,1.5
105,강릉,2017-07-11,28.8,14.5,56.5,21.2,8.4
105,강릉,2017-07-12,31.2,,44.1,19.6,8.5
105,강릉,2017-07-13,31.8,,41,18.9,8.9
105,강릉,2017-07-14,31.2,,47.1,21.3,7.1
105,강릉,2017-07-15,28.7,2,59.1,23.1,3.6
105,강릉,2017-07-16,28.7,10,58.3,22.5,6.1
105,강릉,2017-07-17,30.7,,50.8,22.2,6.8
105,강릉,2017-07-18,29.7,,53.3,22,6.3
105,강릉,2017-07-19,30.1,,55.9,23.5,6.2
105,강릉,2017-07-20,31,,55.8,24.7,6.8
105,강릉,2017-07-21,31.6,.4,55.3,25.3,3.9
105,강릉,2017-07-22,23.5,21,83.8,24.1,1
105,강릉,2017-07-23,22.9,11.5,87.6,24.4,.7
105,강릉,2017-07-24,24.2,4,85.4,25.7,1.3
105,강릉,2017-07-25,24.5,1,84.1,25.7,2.5
105,강릉,2017-07-26,24.5,,68,20.5,5.6
105,강릉,2017-07-27,24,0,71,20.9,2.6
105,강릉,2017-07-28,23.4,4,84.3,24.3,1.2
105,강릉,2017-07-29,23.2,5,82.5,23.3,1.6
105,강릉,2017-07-30,25.6,,73.3,23.8,3.8
105,강릉,2017-07-31,23,2,85.4,23.9,.9
105,강릉,2017-08-01,24.1,.1,80,23.9,1.7
105,강릉,2017-08-02,24.5,.5,79,24,3.1
105,강릉,2017-08-03,25.1,,71.3,22.6,4.5
105,강릉,2017-08-04,27.1,,73,26,4.7
105,강릉,2017-08-05,27.5,,77.3,28.2,3.8
105,강릉,2017-08-06,27.4,3.5,76.9,27.8,3.4
105,강릉,2017-08-07,27,5.5,76.9,27.1,3.9
105,강릉,2017-08-08,27.8,,62,22.9,3.9
105,강릉,2017-08-09,24.4,21.5,83.5,25.3,1.1
105,강릉,2017-08-10,23.3,48,89.6,25.5,.9
105,강릉,2017-08-11,23.1,83.5,85.5,24,2.4
105,강릉,2017-08-12,23.5,,73.4,21,3.3
105,강릉,2017-08-13,23.2,.5,75.8,21.4,2
105,강릉,2017-08-14,22.2,29,88.9,23.7,.9
105,강릉,2017-08-15,22.1,92.5,90.4,23.9,.8
105,강릉,2017-08-16,20.9,57,91.6,22.6,1
105,강릉,2017-08-17,21.4,11.5,91.5,23.3,1.3
105,강릉,2017-08-18,23.1,15.5,83.9,23.4,1.9
105,강릉,2017-08-19,22.5,9.5,89,24.1,1
105,강릉,2017-08-20,22.4,19.5,88.9,24,1.2
105,강릉,2017-08-21,25,3,81.5,25.5,2.6
105,강릉,2017-08-22,27.8,1,64.9,23.5,4.6
105,강릉,2017-08-23,28.3,4,68.6,26.3,3.1
105,강릉,2017-08-24,28.4,29.5,65.8,25,2.5
105,강릉,2017-08-25,26.3,,51.5,17,6.3
105,강릉,2017-08-26,24.1,,42,11.9,7
105,강릉,2017-08-27,22.9,,56.4,15.6,3.5
105,강릉,2017-08-28,23.9,9,61.3,17.5,3
105,강릉,2017-08-29,20.9,0,66.6,16.2,4.6
105,강릉,2017-08-30,21,,58.5,14.3,3.3
105,강릉,2017-08-31,21.1,,61.3,15.2,4.1
105,강릉,2017-09-01,20.2,,64,14.7,4.9
105,강릉,2017-09-02,19.9,,62.8,14.2,5.1
105,강릉,2017-09-03,20.9,,58.1,14.2,4.9
105,강릉,2017-09-04,22.9,,60.6,17,4.1
105,강릉,2017-09-05,20.8,,61.5,15,2.2
105,강릉,2017-09-06,22.2,.3,60.6,16.1,2.5
105,강릉,2017-09-07,23.5,,60.6,17.2,5
105,강릉,2017-09-08,25,,56,17.4,5.6
105,강릉,2017-09-09,24.6,,57.4,17.5,4.6
105,강릉,2017-09-10,23.3,,73.4,20.9,2
105,강릉,2017-09-11,19,14,84.4,18.4,1.3
105,강릉,2017-09-12,22.1,,67.1,17.6,4.8
105,강릉,2017-09-13,20.5,,57.9,13.8,4.1
105,강릉,2017-09-14,20.2,,64.3,15.1,3.6
105,강릉,2017-09-15,19.9,.1,64.3,14.4,4.1
105,강릉,2017-09-16,19.6,.2,67.9,15.3,2.1
105,강릉,2017-09-17,18.4,6,85.3,17.9,1.5
105,강릉,2017-09-18,22,,56.9,14.6,5.6
105,강릉,2017-09-19,22.4,13.5,60,15.6,4.7
105,강릉,2017-09-20,20.8,,45.1,10.7,5.3
105,강릉,2017-09-21,20,,59.8,13.8,4.7
105,강릉,2017-09-22,20.6,,57.9,13.8,4.8
105,강릉,2017-09-23,21.9,,55.1,14.3,3.8
105,강릉,2017-09-24,22.5,,56.8,15.2,4.5
105,강릉,2017-09-25,22.3,,64.1,17.2,3.8
105,강릉,2017-09-26,22.5,0,72.3,19.5,3.3
105,강릉,2017-09-27,20.5,7.6,76.9,18.4,1.2
105,강릉,2017-09-28,20.1,4,53.9,12,5.2
105,강릉,2017-09-29,18.1,,29.3,5.9,6.4
105,강릉,2017-09-30,21.9,,40.5,10.5,6.1
105,강릉,2017-10-01,20.2,1,43.1,9.7,2.1
105,강릉,2017-10-02,17.8,9.5,87,17.6,.8
105,강릉,2017-10-03,14.7,19,86.6,14.4,.8
105,강릉,2017-10-04,15.1,.2,71.9,12.2,2
105,강릉,2017-10-05,16.3,,67.6,12.4,2.5
105,강릉,2017-10-06,15.5,17,87.5,15.4,.6
105,강릉,2017-10-07,17.9,4.5,89.8,18.3,1.1
105,강릉,2017-10-08,19.7,,79.4,18,1.8
105,강릉,2017-10-09,21.1,,75.9,18.8,2.3
105,강릉,2017-10-10,18.1,10.5,82.1,16.9,.7
105,강릉,2017-10-11,15.5,24,83.1,14.5,1.1
105,강릉,2017-10-12,13.5,1,75.9,11.7,1.2
105,강릉,2017-10-13,12.4,.1,71.4,10.3,1.7
