지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),합계 대형증발량(mm)
105,강릉,2018-04-12,15,,27.5,4.5,6.6
105,강릉,2018-04-13,11.2,,52,7,2.8
105,강릉,2018-04-14,8.2,26.5,85.8,9.2,.9
105,강릉,2018-04-15,11.5,.1,56.1,7.2,3.4
105,강릉,2018-04-16,11.3,,55.6,7.3,4.1
105,강릉,2018-04-17,14.1,,48.3,7.3,5
105,강릉,2018-04-18,18.9,,24.6,5.3,9
105,강릉,2018-04-19,21.8,,17.8,4.7,9.1
105,강릉,2018-04-20,22.1,,38.1,9.8,6.6
105,강릉,2018-04-21,26.6,,19.6,6.4,10.2
105,강릉,2018-04-22,13,4.5,60.5,8.6,2.7
105,강릉,2018-04-23,8.5,52.5,92.8,10.2,.4
105,강릉,2018-04-24,8.3,24,86.5,9.5,1.1
105,강릉,2018-04-25,12,,49,6.3,5
105,강릉,2018-04-26,18.6,,35.9,6.9,6.9
105,강릉,2018-04-27,13.9,,45.8,7.1,4.5
105,강릉,2018-04-28,20.8,,31.8,6.8,11.1
105,강릉,2018-04-29,23.4,,21.3,6.3,9.8
105,강릉,2018-04-30,20.9,,38.9,8.9,5
105,강릉,2018-05-01,15,,77.8,13.1,2.4
105,강릉,2018-05-02,11,17.5,85.1,11.2,1
105,강릉,2018-05-03,10.3,.5,62.6,7.7,2.6
105,강릉,2018-05-04,16.7,,34.3,6.1,9.2
105,강릉,2018-05-05,21.5,,31.1,8,6.9
105,강릉,2018-05-06,16.1,10.5,81.4,14.5,.9
105,강릉,2018-05-07,14.9,1,85.9,14.4,1.9
105,강릉,2018-05-08,10.9,6.5,91.4,11.9,.7
105,강릉,2018-05-09,10,,79,9.6,1.3
105,강릉,2018-05-10,16.7,,53.6,9.2,6.2
105,강릉,2018-05-11,21.8,,33.6,8.9,6.2
105,강릉,2018-05-12,16.3,1.5,67.3,12,1.6
105,강릉,2018-05-13,17.4,.5,77.4,15.2,4.1
105,강릉,2018-05-14,23.9,,46.1,13.3,7.8
105,강릉,2018-05-15,26.9,,36.3,12.8,5
105,강릉,2018-05-16,24.8,2,73.8,22.8,1.5
105,강릉,2018-05-17,20,50,85.4,20.4,1.1
105,강릉,2018-05-18,10.7,69,90.3,11.6,1.2
105,강릉,2018-05-19,13.4,,68.8,10.4,4.6
105,강릉,2018-05-20,13.3,,70.4,10.6,2.9
105,강릉,2018-05-21,13.8,,73.1,11.5,3.5
105,강릉,2018-05-22,15.5,2.5,84.1,14.8,2.9
105,강릉,2018-05-23,17.5,.5,62.5,12.2,6.2
105,강릉,2018-05-24,23.1,,32.5,9.2,10.3
105,강릉,2018-05-25,24.2,,36.4,10.5,6.5
105,강릉,2018-05-26,17.5,,72.1,14.3,4.1
105,강릉,2018-05-27,16.4,.1,85.3,15.8,1.9
105,강릉,2018-05-28,17.4,,82.9,16.4,3.4
105,강릉,2018-05-29,18.2,.5,86.3,17.9,2.3
105,강릉,2018-05-30,19.5,.3,77.8,17.3,3.9
105,강릉,2018-05-31,20.7,,55.4,12.9,6.8
105,강릉,2018-06-01,24.1,,48.3,14.1,6.9
105,강릉,2018-06-02,28,,39.5,14.7,8.2
105,강릉,2018-06-03,27.1,,32.8,11.5,7.5
105,강릉,2018-06-04,25.7,,38.6,12.5,5.9
105,강릉,2018-06-05,25.5,,47.8,15.3,6.9
105,강릉,2018-06-06,26.8,,50.4,17.4,6.7
105,강릉,2018-06-07,28,,46.5,17.3,6.6
105,강릉,2018-06-08,23.9,,58.3,16.9,4.5
105,강릉,2018-06-09,18.2,.1,80.8,16.7,1.7
105,강릉,2018-06-10,16.8,.5,84.3,16.1,1.6
105,강릉,2018-06-11,16.2,.5,79.4,14.5,1.6
105,강릉,2018-06-12,16.7,,68,12.7,4.3
105,강릉,2018-06-13,17.4,,76.6,15.2,2
105,강릉,2018-06-14,18.5,,76.5,16.2,2.4
105,강릉,2018-06-15,18,,72.3,14.8,3.3
105,강릉,2018-06-16,17.9,,70.6,14.2,4.7
105,강릉,2018-06-17,20.8,,69.4,16.6,3.6
105,강릉,2018-06-18,21.7,,72.9,18.6,4.2
105,강릉,2018-06-19,23.7,,61.6,17.7,3.7
105,강릉,2018-06-20,23.4,,57.1,16.5,5.8
105,강릉,2018-06-21,23.7,,49,13.8,7.4
105,강릉,2018-06-22,27.8,,33.3,11.9,8.9
105,강릉,2018-06-23,28.8,,33.3,13,7.4
105,강릉,2018-06-24,30,,36.6,15.5,8.1
105,강릉,2018-06-25,25.6,,61.6,19.8,3.7
105,강릉,2018-06-26,21.1,21.5,92,22.9,1
105,강릉,2018-06-27,25.1,,68.9,21,6
105,강릉,2018-06-28,25.5,16,66.3,21.1,3.6
105,강릉,2018-06-29,25.6,,70.1,22.8,4.7
105,강릉,2018-06-30,23.9,,77.9,23.1,2.2
105,강릉,2018-07-01,21.4,43.5,95.1,24.2,.7
105,강릉,2018-07-02,22.6,23.5,91.8,25.1,1.1
105,강릉,2018-07-03,24.7,6.5,83.8,25.6,3.5
105,강릉,2018-07-04,22.4,47,90.9,24.5,1.8
105,강릉,2018-07-05,20.2,10.5,96.8,22.8,1.2
105,강릉,2018-07-06,18.2,22.5,92.1,19.2,1.2
105,강릉,2018-07-07,17.5,4,79.8,15.8,2.7
105,강릉,2018-07-08,17.8,,72.1,14.7,2.1
105,강릉,2018-07-09,18,17.5,89.4,18.4,.8
105,강릉,2018-07-10,19.3,4.5,92.3,20.6,1
105,강릉,2018-07-11,20.1,12,95,22.4,1.4
105,강릉,2018-07-12,28,,68.6,25,5.5
105,강릉,2018-07-13,30.7,,55.6,24.3,7.3
105,강릉,2018-07-14,31.4,,52.5,23.9,7.6
105,강릉,2018-07-15,31.8,,51.5,24,7.2
105,강릉,2018-07-16,31.8,,51.1,23.6,8.2
105,강릉,2018-07-17,31.8,,49.5,22.8,8.2
105,강릉,2018-07-18,28.9,,64.4,25.5,5.8
105,강릉,2018-07-19,29.6,,64.8,26.4,6.6
105,강릉,2018-07-20,31.5,,53.5,24.4,7.5
105,강릉,2018-07-21,32.5,,53.5,25.9,6.9
105,강릉,2018-07-22,32.8,,49.5,24.2,7.5
105,강릉,2018-07-23,31.8,,58.4,27,5.3
105,강릉,2018-07-24,31.2,,67.4,30.2,5.9
105,강릉,2018-07-25,31.1,,68.1,30.5,4.9
105,강릉,2018-07-26,32.2,,60.5,28.6,6.1
105,강릉,2018-07-27,30.6,,70.5,30.4,5
105,강릉,2018-07-28,28.7,,76.9,30.2,3.9
105,강릉,2018-07-29,27.1,.5,81,28.9,2.9
105,강릉,2018-07-30,26.2,3.5,87.5,29.6,2.7
105,강릉,2018-07-31,28.2,,73.4,27.8,5.5
105,강릉,2018-08-01,28.8,,73.1,28.5,5.8
105,강릉,2018-08-02,28.6,,74.1,28.9,4.8
105,강릉,2018-08-03,29.7,,75,31,5.5
105,강릉,2018-08-04,33.9,,52.5,27.4,7.2
105,강릉,2018-08-05,32.2,,58.1,27,4.9
105,강릉,2018-08-06,24.9,200,95.9,30.1,1
105,강릉,2018-08-07,26.5,.2,84.1,28.8,3.1
105,강릉,2018-08-08,26.7,0,84.1,29.2,2
105,강릉,2018-08-09,26.4,.5,83.5,28.5,2.5
105,강릉,2018-08-10,24.6,7,92,28.3,1.4
105,강릉,2018-08-11,25.7,,82.9,27.2,2.4
105,강릉,2018-08-12,26.5,,79.9,27.5,4.2
105,강릉,2018-08-13,28.6,,82.4,32,4.4
105,강릉,2018-08-14,29,1,75.4,29.5,4.3
105,강릉,2018-08-15,27.6,,83,30.6,3.5
105,강릉,2018-08-16,24.5,26,78.5,24.2,3.2
105,강릉,2018-08-17,22.5,.2,72,19.2,3.8
105,강릉,2018-08-18,23.5,,67.6,19.2,5
105,강릉,2018-08-19,23.8,,72.4,21.2,3.8
105,강릉,2018-08-20,24.5,,77.9,23.9,3.4
105,강릉,2018-08-21,27.4,.2,61.5,22.1,3.2
105,강릉,2018-08-22,26.7,,67.3,23.1,4.4
105,강릉,2018-08-23,25.1,2,86.5,27.6,1
105,강릉,2018-08-24,24.4,38.5,90.9,28,1.7
105,강릉,2018-08-25,25.3,,62.3,19.7,2.5
105,강릉,2018-08-26,24.3,4.5,63.4,19,2.5
105,강릉,2018-08-27,22.5,64,91,24.7,1.5
105,강릉,2018-08-28,22.2,36,86.9,23.1,1.9
105,강릉,2018-08-29,23.2,36.5,86.6,24.5,1.7
105,강릉,2018-08-30,27.1,1.5,73.6,25.9,3.6
105,강릉,2018-08-31,24.4,1,74.3,22.4,3.5
105,강릉,2018-09-01,22.2,.1,77.4,20.5,3.3
105,강릉,2018-09-02,21.3,,74.8,18.7,3.4
105,강릉,2018-09-03,21.6,37,85.5,22,1.4
105,강릉,2018-09-04,22.4,29,81.9,22,4.1
105,강릉,2018-09-05,25,,46.3,14.3,6
105,강릉,2018-09-06,25.3,,50.4,16.1,4.7
105,강릉,2018-09-07,22.8,,60.1,16.4,2.9
105,강릉,2018-09-08,20.5,,55,12.8,5.3
105,강릉,2018-09-09,19.4,8,71.1,16.1,3.1
105,강릉,2018-09-10,18.9,3.5,73.1,15.6,3.6
105,강릉,2018-09-11,18.7,,69.5,14.7,3.4
105,강릉,2018-09-12,19,,77.3,16.9,1.4
105,강릉,2018-09-13,19.6,,82.9,18.7,1.7
105,강릉,2018-09-14,20.1,1.5,85.9,20.2,1
105,강릉,2018-09-15,21,3,90.9,22.5,1.3
105,강릉,2018-09-16,22.1,1,83.1,22,1.9
105,강릉,2018-09-17,22,,66.8,17.3,4
105,강릉,2018-09-18,20.9,,65.5,16.1,3.5
105,강릉,2018-09-19,21.1,.5,78.5,19.5,2.9
105,강릉,2018-09-20,17.7,36,93.8,18.8,.5
105,강릉,2018-09-21,17.7,31,95.3,19.2,.9
105,강릉,2018-09-22,21.3,,57.5,13.9,4.9
105,강릉,2018-09-23,19.3,,55.5,12.4,3
105,강릉,2018-09-24,17.3,,54.9,10.4,3.7
105,강릉,2018-09-25,17.2,8.5,64.5,12.4,3.4
105,강릉,2018-09-26,16.7,2,73.6,13.6,2
105,강릉,2018-09-27,16.4,.1,66,11.9,3.5
105,강릉,2018-09-28,15.9,,73.3,13.2,1.7
105,강릉,2018-09-29,18,,71.9,14.8,3.1
105,강릉,2018-09-30,19.6,,61.5,14.3,4.7
105,강릉,2018-10-01,17.1,,38.6,7.5,4.6
105,강릉,2018-10-02,17.5,,52,10.2,4.5
105,강릉,2018-10-03,17.3,,57,11,4
105,강릉,2018-10-04,17.1,4,76.4,15,1.2
105,강릉,2018-10-05,15.7,56.5,94,16.6,.5
105,강릉,2018-10-06,17.1,144.5,92.3,17.9,1
105,강릉,2018-10-07,20.4,,50.4,11.5,5.4
105,강릉,2018-10-08,15.3,,44,7.5,4.5
105,강릉,2018-10-09,15.9,,53.1,9.4,3.2
105,강릉,2018-10-10,14.6,,48,7.9,5
105,강릉,2018-10-11,11.8,,37.8,5.1,4.5
105,강릉,2018-10-12,11.9,,55.8,7.7,3.4
105,강릉,2018-10-13,13.7,,58.1,9,3.3
105,강릉,2018-10-14,15.1,,51,8.4,4.1
105,강릉,2018-10-15,15.8,,53.4,9.3,3.3
105,강릉,2018-10-16,14.5,10,70.4,11.5,1.6
105,강릉,2018-10-17,12.3,2,89.5,12.8,.7
105,강릉,2018-10-18,11.7,27.5,82.8,11.4,.9
105,강릉,2018-10-19,12.6,.5,66.6,9.5,3
105,강릉,2018-10-20,13.6,,60,9.3,3.4
105,강릉,2018-10-21,14.2,,53.3,8.4,3.5
105,강릉,2018-10-22,14.8,,51.1,8.5,2.7
105,강릉,2018-10-23,14.5,.5,54.6,9,2.1
105,강릉,2018-10-24,13.9,,51.6,7.9,3.7
105,강릉,2018-10-25,14.7,,50.8,8.3,3.2
105,강릉,2018-10-26,15,,51.5,8.8,2.6
105,강릉,2018-10-27,10.9,,34.6,4.5,4.2
105,강릉,2018-10-28,9.8,2.5,56.9,6.9,2.4
105,강릉,2018-10-29,9.9,,41.9,5.1,2.9
105,강릉,2018-10-30,8.6,,41.4,4.6,3
105,강릉,2018-10-31,8.4,,49.3,5.4,3.1
105,강릉,2018-11-01,9.9,,45.8,5.5,3.4
105,강릉,2018-11-02,12.4,,42.6,6,3.6
105,강릉,2018-11-03,14.8,,38.9,6.5,4
105,강릉,2018-11-04,14.4,,39.6,6.3,3.4
105,강릉,2018-11-05,13.3,0,67,10.4,1.4
105,강릉,2018-11-06,13.8,,75.4,11.7,1.7
105,강릉,2018-11-07,12.9,5.5,85.9,12.7,.6
105,강릉,2018-11-08,11.5,31,93.9,12.7,1
105,강릉,2018-11-09,14.4,.1,48.5,7.9,3.3
105,강릉,2018-11-10,13.4,,50.9,7.7,2.7
105,강릉,2018-11-11,11,,54.8,7.2,1.5
105,강릉,2018-11-12,8.9,3,77.3,8.7,1
105,강릉,2018-11-13,9.9,5,82,9.9,1.1
105,강릉,2018-11-14,8.3,5,84.6,9.3,.9
105,강릉,2018-11-15,10.5,,61.8,7.7,2.1
105,강릉,2018-11-16,12.1,,52.6,7.3,1.4
105,강릉,2018-11-17,8.9,,67,7.6,1.7
105,강릉,2018-11-18,10,,31,3.8,2.7
105,강릉,2018-11-19,8.5,,44.4,4.9,2
105,강릉,2018-11-20,8.9,,30.4,3.4,3.3
105,강릉,2018-11-21,8.8,.2,49.6,5.6,1.5
105,강릉,2018-11-22,5,,28.5,2.4,3.2
105,강릉,2018-11-23,3.5,,26.8,2.1,2.7
105,강릉,2018-11-24,5,1.5,54,4.8,1.3
105,강릉,2018-11-25,8.5,,48.8,5.3,2.4
105,강릉,2018-11-26,10.9,,39.3,5,3.6
105,강릉,2018-11-27,12.1,,42.3,6.1,2.7
105,강릉,2018-11-28,7,,36.5,3.5,2.3
105,강릉,2018-11-29,6.3,,37.8,3.6,2
105,강릉,2018-11-30,6.1,,32.5,3,2.9
105,강릉,2018-12-01,6.7,,49.6,4.8,1.9
105,강릉,2018-12-02,9.1,,59,6.8,1.3
105,강릉,2018-12-03,10.9,2.5,84,11,.7
105,강릉,2018-12-04,10.8,13.5,81.8,10.8,1
105,강릉,2018-12-05,4.8,.4,56.3,4.9,1.2
105,강릉,2018-12-06,4.5,5,70,5.8,1.7
105,강릉,2018-12-07,-2.9,,23,1.2,2.3
105,강릉,2018-12-08,-4.8,,21.6,.9,2.3
105,강릉,2018-12-09,-2.9,,24.8,1.2,2.2
105,강릉,2018-12-10,-.8,,38.8,2.3,1.7
105,강릉,2018-12-11,.8,1.5,77.3,5,.5
105,강릉,2018-12-12,.8,,42.5,2.6,2.3
105,강릉,2018-12-13,1,,40.4,2.7,1.6
105,강릉,2018-12-14,-1.2,,39.9,2.2,1.9
105,강릉,2018-12-15,2.7,,24.4,1.6,3.4
105,강릉,2018-12-16,5.1,,37.5,3.3,1.9
105,강릉,2018-12-17,5,,36.4,3.2,2.9
105,강릉,2018-12-18,4.5,,36.4,3.1,2.4
105,강릉,2018-12-19,8,,35.4,3.8,2.7
105,강릉,2018-12-20,5.3,,37.4,3.2,2.1
105,강릉,2018-12-21,6.8,,42.6,4.3,1.9
105,강릉,2018-12-22,9.2,,53.5,6.1,1.6
105,강릉,2018-12-23,6.6,,45.6,4.5,3
105,강릉,2018-12-24,2.4,,21,1.5,3.2
105,강릉,2018-12-25,3.3,,38.9,3.1,1.8
105,강릉,2018-12-26,4.6,,29.6,2.5,3.1
105,강릉,2018-12-27,-4.3,,13.4,.6,2.7
105,강릉,2018-12-28,-5.1,,19.9,.8,2.4
105,강릉,2018-12-29,-4.1,,19.6,.9,2.6
105,강릉,2018-12-30,-2.7,,31.1,1.6,2
105,강릉,2018-12-31,.3,,23.8,1.5,2.9
105,강릉,2019-01-01,-.7,,26.3,1.5,2.2
105,강릉,2019-01-02,0,,21,1.2,3
105,강릉,2019-01-03,1.2,,19.8,1.3,2.7
105,강릉,2019-01-04,3.8,,24.8,2,3
105,강릉,2019-01-05,1.9,,37.3,2.6,2.2
105,강릉,2019-01-06,1.9,,38.5,2.7,2.4
105,강릉,2019-01-07,2.6,,22.1,1.6,3.2
105,강릉,2019-01-08,.9,,21,1.4,2.7
105,강릉,2019-01-09,.1,,20.4,1.2,4.2
105,강릉,2019-01-10,4.4,,18.9,1.6,3.3
105,강릉,2019-01-11,3.1,,49.1,3.8,1.6
105,강릉,2019-01-12,3.3,2,73.3,5.8,.6
105,강릉,2019-01-13,3.7,,58.1,4.6,1.9
105,강릉,2019-01-14,5.5,,37.6,3.3,2.2
105,강릉,2019-01-15,2.6,,38.1,2.9,1.9
105,강릉,2019-01-16,-1.6,,28.1,1.5,2.6
105,강릉,2019-01-17,2.7,,32.5,2.4,3.1
105,강릉,2019-01-18,4.4,,24,2,3
105,강릉,2019-01-19,5.7,,37.5,3.4,1.8
105,강릉,2019-01-20,3.7,,30.8,2.6,3.2
105,강릉,2019-01-21,2.1,,35,2.6,2.7
105,강릉,2019-01-22,4.7,,34.4,2.9,3.4
105,강릉,2019-01-23,5.5,,39.3,3.4,2.8
105,강릉,2019-01-24,2.7,,35.8,2.6,2.5
105,강릉,2019-01-25,1.3,1.5,41.8,2.6,2.2
105,강릉,2019-01-26,0,.1,36.4,2.2,2.6
105,강릉,2019-01-27,3.8,,24.1,1.9,3.9
105,강릉,2019-01-28,4.1,,30.8,2.5,3.2
105,강릉,2019-01-29,3.7,,29,2.4,3.3
105,강릉,2019-01-30,8.3,,18,2,3.8
105,강릉,2019-01-31,2.4,13,56.4,3.9,1.1
105,강릉,2019-02-01,.3,,30.3,1.9,3.1
105,강릉,2019-02-02,4.9,,36.1,3.2,2.3
105,강릉,2019-02-03,4.9,9,81,7,.8
105,강릉,2019-02-04,4.3,,24.1,2,3.7
105,강릉,2019-02-05,6.3,,20.4,1.9,4.1
105,강릉,2019-02-06,6.7,,49.8,4.9,2.1
105,강릉,2019-02-07,1.9,2.5,63.4,4.6,1.3
105,강릉,2019-02-08,-1.5,,39.9,2.2,1.9
105,강릉,2019-02-09,-.5,,35.4,2.1,2.2
105,강릉,2019-02-10,-.6,,46.6,2.8,1.5
105,강릉,2019-02-11,1.3,,20.4,1.3,3.2
105,강릉,2019-02-12,1.4,,31.4,2.1,2.4
105,강릉,2019-02-13,.2,,33.6,2.1,2.2
105,강릉,2019-02-14,-.2,,63.3,3.9,1
105,강릉,2019-02-15,3,,49.8,3.7,2.3
105,강릉,2019-02-16,.9,,38.6,2.5,2.5
105,강릉,2019-02-17,2.7,,29,2.1,3.7
105,강릉,2019-02-18,5.7,,30.4,2.8,2.4
105,강릉,2019-02-19,3.9,6,73.1,5.8,1
105,강릉,2019-02-20,4.3,,47.9,3.9,2.6
105,강릉,2019-02-21,5.3,,51.6,4.6,2.8
105,강릉,2019-02-22,6.1,,51.3,4.8,2.4
105,강릉,2019-02-23,4.9,.2,56,4.8,2
105,강릉,2019-02-24,9.5,,34.4,3.7,5.4
105,강릉,2019-02-25,7.9,,36.5,3.8,2.7
105,강릉,2019-02-26,6,,47.8,4.4,2.8
105,강릉,2019-02-27,8.3,,60,6.5,2.1
105,강릉,2019-02-28,7.1,,51.6,5.1,2.6
105,강릉,2019-03-01,7.3,,43.8,4.3,3.4
105,강릉,2019-03-02,8.5,,44.1,4.9,3.1
105,강릉,2019-03-03,9.7,,48.3,5.7,2.7
105,강릉,2019-03-04,8.9,,62.9,7.1,2.7
105,강릉,2019-03-05,12.2,,36.8,5.2,3.3
105,강릉,2019-03-06,9.5,6,56,6.4,1.7
105,강릉,2019-03-07,5.8,5,70.8,6.4,1.4
105,강릉,2019-03-08,9.6,,41.1,4.5,5.4
105,강릉,2019-03-09,13.2,,10.4,1.5,6.3
105,강릉,2019-03-10,9.1,.5,50.6,5.7,1.5
105,강릉,2019-03-11,8.3,,50.3,5.3,2.9
105,강릉,2019-03-12,6.6,.5,48,4.7,3.2
105,강릉,2019-03-13,4.6,,23.3,1.9,4.7
105,강릉,2019-03-14,6.3,,27.3,2.6,4.3
105,강릉,2019-03-15,5.5,9.5,62.4,5.4,2.1
105,강릉,2019-03-16,5.9,.6,57.6,5.1,3.3
105,강릉,2019-03-17,7.4,,43.9,4.5,3.6
105,강릉,2019-03-18,12.3,,26.3,3.6,5.8
105,강릉,2019-03-19,17,,25.8,5.1,5.3
105,강릉,2019-03-20,16.9,9.5,44.9,7.8,2.5
105,강릉,2019-03-21,11.1,4.5,62.3,8.2,2.8
105,강릉,2019-03-22,5.4,,55.5,5,2.3
105,강릉,2019-03-23,5,1,40.6,3.5,3.3
105,강릉,2019-03-24,6.9,,32,3.1,5.2
105,강릉,2019-03-25,11.4,,39.6,5.4,5
105,강릉,2019-03-26,12.6,,34.9,5,5.3
105,강릉,2019-03-27,12.8,.5,57.6,8.1,3.3
105,강릉,2019-03-28,5.7,10,84.5,7.7,.7
105,강릉,2019-03-29,7.3,,69,7,2
105,강릉,2019-03-30,7.7,2,58.6,6.1,3.3
105,강릉,2019-03-31,5.7,,47.5,4.4,3.3
105,강릉,2019-04-01,5.6,,32.4,2.9,3.4
105,강릉,2019-04-02,7.2,,35.8,3.5,3.8
105,강릉,2019-04-03,10,,29.4,3.5,6.5
105,강릉,2019-04-04,14.2,,18.8,3.1,9.2
105,강릉,2019-04-05,12.8,,37.1,5.5,4.8
105,강릉,2019-04-06,11.6,2.5,39.8,5.3,2.6
105,강릉,2019-04-07,11.4,,52.8,6.9,3.8
105,강릉,2019-04-08,9.7,,38.5,4.3,4.8
105,강릉,2019-04-09,8.2,11.5,50.5,5.2,2.4
105,강릉,2019-04-10,4.8,22,89.6,7.7,1
105,강릉,2019-04-11,8.5,,64,6.9,2.6
105,강릉,2019-04-12,12.2,,47.3,6.5,4.8
105,강릉,2019-04-13,15.5,,26,4.5,7.1
105,강릉,2019-04-14,11.3,,43.8,5.7,2.9
105,강릉,2019-04-15,14.2,,27.1,4,7.5
105,강릉,2019-04-16,19.7,,14.5,3.2,9.1
105,강릉,2019-04-17,20.3,,16.9,4,8.9
105,강릉,2019-04-18,18.1,,44.1,8.9,4.4
105,강릉,2019-04-19,10.8,,51.4,6.5,2.8
105,강릉,2019-04-20,14.2,,57.4,9.1,5
105,강릉,2019-04-21,15.3,,61.3,10.5,2.8
105,강릉,2019-04-22,14,,77.8,12.4,2.7
105,강릉,2019-04-23,19.1,,62.1,13.1,3.8
105,강릉,2019-04-24,18.1,5.5,78.9,16.2,3
105,강릉,2019-04-25,10.8,7,76.1,9.6,1.1
105,강릉,2019-04-26,7.8,36.5,91.5,9.6,.9
105,강릉,2019-04-27,11.6,,54.9,7,4.3
105,강릉,2019-04-28,14.1,,49.5,7.8,2.4
105,강릉,2019-04-29,12.7,.5,69.6,10.1,1.9
105,강릉,2019-04-30,13,,77.3,11.5,2.9
105,강릉,2019-05-01,16.5,,61.9,11,4.7
105,강릉,2019-05-02,19.3,,41.4,8.1,6.8
105,강릉,2019-05-03,16.9,,55,10.6,4.5
105,강릉,2019-05-04,17.3,,67.6,13.2,4.1
105,강릉,2019-05-05,22.3,,30.1,6.9,7
105,강릉,2019-05-06,12.2,2,45.3,6.3,5.3
105,강릉,2019-05-07,17.8,,24.1,4.6,9.6
105,강릉,2019-05-08,20.7,,24.3,5.9,9.5
105,강릉,2019-05-09,22.3,,23.8,6.3,9
105,강릉,2019-05-10,21.3,,31.5,7.7,6.2
105,강릉,2019-05-11,19.8,,44.5,10.1,4.7
105,강릉,2019-05-12,14.4,,75.3,12.3,1.1
105,강릉,2019-05-13,16.2,,75.6,13.8,2.5
105,강릉,2019-05-14,18.9,,69.5,14.9,4.5
105,강릉,2019-05-15,18.8,,66.4,14.3,3.9
105,강릉,2019-05-16,20.7,,62.1,14.3,5.8
105,강릉,2019-05-17,24.3,,44.9,13.5,4.6
105,강릉,2019-05-18,22,0,52,13.6,3.6
105,강릉,2019-05-19,19.8,2,76.1,17.4,3.1
105,강릉,2019-05-20,20.1,,44.5,10.6,6.2
105,강릉,2019-05-21,20.1,,30.6,6.8,9.2
105,강릉,2019-05-22,23.3,,24.4,6.6,10.9
105,강릉,2019-05-23,26.1,,24.6,8.2,9.3
105,강릉,2019-05-24,29,,26.4,10.5,9.6
105,강릉,2019-05-25,29.6,,27.4,11.1,9.5
105,강릉,2019-05-26,28.4,,28.6,10.9,7.2
105,강릉,2019-05-27,22.4,.5,56.4,15.2,4
105,강릉,2019-05-28,21.2,,30.3,7.2,8.1
105,강릉,2019-05-29,22.7,,25.5,6.5,9.7
105,강릉,2019-05-30,24.3,,27.1,8.1,7.7
105,강릉,2019-05-31,21.8,,36.9,9.5,6.7
105,강릉,2019-06-01,23.6,,31.6,8.9,7.7
105,강릉,2019-06-02,23.2,,35.8,9.9,6.9
105,강릉,2019-06-03,26.2,,37.1,12.5,7.1
105,강릉,2019-06-04,28.8,,32.3,12.5,7.6
105,강릉,2019-06-05,20.8,,70.6,17.1,4.3
105,강릉,2019-06-06,18.6,10.5,86.8,18.5,1.4
105,강릉,2019-06-07,17,69,96,18.5,.8
105,강릉,2019-06-08,18.3,,79.1,16.5,3.8
105,강릉,2019-06-09,17.6,2,80.6,16,2.8
105,강릉,2019-06-10,16.2,3.5,85.8,15.7,1.9
105,강릉,2019-06-11,15.9,1.5,81.4,14.6,1.7
105,강릉,2019-06-12,17.6,,73.3,14.6,4.9
105,강릉,2019-06-13,22.9,,60,15.9,6.4
105,강릉,2019-06-14,21.7,4.5,63.3,16,2.9
105,강릉,2019-06-15,18.3,20.5,82.9,17.3,2.6
105,강릉,2019-06-16,17.6,4,82.6,16.5,2.3
105,강릉,2019-06-17,20.8,,74.1,17.9,5
105,강릉,2019-06-18,22.8,7.5,61.4,16.7,3.1
105,강릉,2019-06-19,24.8,1.5,61,18.6,5.4
105,강릉,2019-06-20,26.8,,52,18.1,6.3
105,강릉,2019-06-21,20.5,0,76.1,18.4,2.5
105,강릉,2019-06-22,19.9,,66.4,15,5.2
105,강릉,2019-06-23,20.1,,71.1,16.5,5
105,강릉,2019-06-24,22.2,.2,67,17.6,5.4
105,강릉,2019-06-25,23.9,,70.1,20.5,5
105,강릉,2019-06-26,23.4,1.5,75,21.4,2.8
105,강릉,2019-06-27,23.4,2.5,82.5,23.5,4.1
105,강릉,2019-06-28,21.6,,83.4,21.4,2.2
105,강릉,2019-06-29,22.7,3.5,84.9,23.1,3
105,강릉,2019-06-30,26.1,,64.1,20.9,4.9
105,강릉,2019-07-01,26.6,,55,19,5
105,강릉,2019-07-02,25.4,,51.4,16.3,6.4
105,강릉,2019-07-03,26,,53.9,17.7,5.7
105,강릉,2019-07-04,26.9,,47.6,16.3,7.1
105,강릉,2019-07-05,26.3,,62.4,20.9,5
105,강릉,2019-07-06,24.5,.2,74.6,22.7,4.7
105,강릉,2019-07-07,22.3,.5,71,18.9,3.1
105,강릉,2019-07-08,20.9,5,82.1,20.1,2
105,강릉,2019-07-09,20.9,2.5,78.9,19.3,2.6
105,강릉,2019-07-10,18.9,53.5,94.9,20.6,.8
105,강릉,2019-07-11,19.8,100.5,95.6,22,1.4
105,강릉,2019-07-12,23.5,,73.3,20.7,5.2
105,강릉,2019-07-13,25.8,,59.8,19.5,4.7
105,강릉,2019-07-14,21.7,1,84.5,21.8,1.3
105,강릉,2019-07-15,22.6,7,84,22.8,2.2
105,강릉,2019-07-16,22.4,1.5,88.1,23.7,2.2
105,강릉,2019-07-17,24.2,,80.3,24.1,3
105,강릉,2019-07-18,27.1,,67.1,23.5,5
105,강릉,2019-07-19,25.8,3,78.8,25.9,3.4
105,강릉,2019-07-20,23.7,17.5,91.3,26.6,1
105,강릉,2019-07-21,26.3,8,80.3,26.7,4.3
105,강릉,2019-07-22,30.6,,53.5,23.4,8
105,강릉,2019-07-23,31.2,,54,24.3,5.6
